2011-09-30 14:35:14 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 14:37:29 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 14:47:01 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 15:02:23 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 15:03:06 Notice: Notice (8): Undefined variable: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 25]
2011-09-30 15:03:06 Notice: Notice (8): Undefined variable: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 30]
2011-09-30 15:03:06 Notice: Notice (8): Undefined variable: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 35]
2011-09-30 15:05:07 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 15:05:20 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 15:13:01 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 15:21:51 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 15:31:09 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 15:31:51 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-01 15:05:18 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-01 15:46:05 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-01 16:08:37 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-01 16:09:35 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-01 16:20:24 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-01 16:20:37 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-02 10:47:10 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-02 19:41:45 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-02 19:41:50 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-02 19:41:53 Notice: Notice (8): Undefined index: conferency in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 66]
2011-10-02 19:41:53 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-02 19:41:56 Notice: Notice (8): Undefined index: conferency in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 66]
2011-10-02 19:41:56 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-02 19:42:08 Notice: Notice (8): Undefined index: conferency in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 66]
2011-10-02 19:42:08 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-02 19:42:12 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-13 16:24:58 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 16:25:30 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 16:27:07 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 16:27:09 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 16:27:50 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:11:19 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:12:34 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:13:36 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:13:39 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:13:42 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:13:44 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:13:45 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:13:46 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:13:48 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:15:01 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:17:21 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:18:21 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 20:18:28 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-13 21:23:06 Notice: Notice (8): Undefined variable: peakMemory in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 36]
2011-10-13 21:23:06 Notice: Notice (8): Undefined variable: requestTime in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 55]
2011-10-13 21:23:09 Notice: Notice (8): Undefined variable: peakMemory in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 36]
2011-10-13 21:23:09 Notice: Notice (8): Undefined variable: requestTime in [/home/diogo/Develop/Cake13/birthright/plugins/debug_kit/views/elements/timer_panel.ctp, line 55]
2011-10-16 22:33:24 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: cod in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 16]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: measure in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 31]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: Organization in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 41]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: Section in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 46]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: room in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 51]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: discrepancy in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 56]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: User in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 61]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: conference in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 66]
2011-10-26 18:11:36 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 18:16:52 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 18:19:40 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:12:06 Notice: Notice (8): Undefined index: owner in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 36]
2011-10-26 19:12:06 Notice: Notice (8): Undefined index: measure in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 46]
2011-10-26 19:12:06 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:15:12 Notice: Notice (8): Undefined index: owner in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 36]
2011-10-26 19:15:12 Notice: Notice (8): Undefined index: measure in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 46]
2011-10-26 19:15:12 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:15:14 Notice: Notice (8): Undefined index: owner in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 36]
2011-10-26 19:15:14 Notice: Notice (8): Undefined index: measure in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 46]
2011-10-26 19:15:14 Notice: Notice (8): Undefined index: equipment in [/home/diogo/Develop/Cake13/birthright/plugins/r_search/views/helpers/r_search.php, line 61]
2011-10-26 19:15:22 Notice: Notice (8): Undefined index: owner in [/home/diogo/Develop/Cake13/birthright/views/equipment/admin_view.ctp, line 36]
